"","OTC","Branded","RX"
"43",0.11046324802063,0.0865509698713101,0.80298578210806
"44",0.127714213902711,0.0908079880229088,0.78147779807438
"45",0.10445331697206,0.0777693342755695,0.81777734875237
"46",0.117725458219495,0.110413907622089,0.771860634158416
"47",0.125935061479163,0.11181476999899,0.762250168521847
"48",0.115162460398321,0.139364077932074,0.745473461669606
"49",0.12441995677929,0.130581943892378,0.744998099328332
"50",0.134499865904337,0.153644338858461,0.711855795237202
"51",0.128954243293509,0.110631442918884,0.760414313787607
"52",0.124246657460058,0.0913369900966473,0.784416352443294
"53",0.127583119534908,0.109103232274181,0.763313648190911
"54",0.109713031256166,0.084776188687103,0.805510780056731
"55",0.135744559273586,0.111619810518128,0.752635630208287
"56",0.114636196881232,0.106089019296407,0.77927478382236
"57",0.111429463802466,0.102301306192363,0.786269230005171
"58",0.0719497691535943,0.0841290576835246,0.843921173162881
"59",0.174926464524303,0.169280052804473,0.655793482671223
"60",0.0959712935166223,0.085206158059126,0.818822548424252
"61",0.124428542487786,0.0876476684403741,0.78792378907184
"62",0.112692900889467,0.0898974181964448,0.797409680914088
"63",0.122347246849025,0.0873131435323968,0.790339609618578
"64",0.116018404368509,0.0890615105043278,0.794920085127164
"65",0.136569698076447,0.0938501221328711,0.769580179790682
"66",0.125892766520072,0.082900550659115,0.791206682820813
"67",0.114421631751556,0.0793111618209449,0.806267206427499
"68",0.122156185445257,0.0850372066294834,0.79280660792526
"69",0.106094151896565,0.101699451833991,0.792206396269444
"70",0.110747637742408,0.0755414876116274,0.813710874645965
"71",0.161700285831476,0.121495806086181,0.716803908082343
"72",0.153642803066583,0.112217361907861,0.734139835025556
"73",0.356166648558616,0.295076078733141,0.348757272708243
"74",0.115316605083432,0.0851955541245409,0.799487840792027
"75",0.152575697460831,0.142471378993092,0.704952923546077
"76",0.115553997318275,0.07343828339516,0.811007719286565
"77",0.141227612386747,0.073530863693276,0.785241523919977
"78",0.109329213407215,0.0717017619541007,0.818969024638684
